gen,name,GO,description,meta
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0007010,cytoskeleton organization,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0006094,gluconeogenesis,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0043231,intracellular membrane-bounded organelle,C
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0010498,proteasomal protein catabolic process,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0009791,post-embryonic development,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0005829,cytosol,C
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0048513,organ development,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0048608,reproductive structure development,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0044767,single-organism developmental process,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0009165,nucleotide biosynthetic process,P
Locus_937_Transcript_2_Length_2749_genewise_newlength_2570__CDS__171__2348,glutamyl glutaminyl-trna class ic,GO:0004818,glutamate-tRNA ligase activity,F
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009941,chloroplast envelope,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005802,trans-Golgi network,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0048046,apoplast,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009688,abscisic acid biosynthetic process,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005515,protein binding,F
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0042542,response to hydrogen peroxide,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009827,plant-type cell wall modification,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009793,embryo development ending in seed dormancy,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0006623,protein targeting to vacuole,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0042631,cellular response to water deprivation,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009651,response to salt stress,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009407,toxin catabolic process,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0006333,chromatin assembly or disassembly,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0080167,response to karrikin,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005794,Golgi apparatus,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005829,cytosol,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0004602,glutathione peroxidase activity,F
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0016192,vesicle-mediated transport,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009570,chloroplast stroma,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005768,endosome,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0046686,response to cadmium ion,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009738,abscisic acid mediated signaling pathway,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005783,endoplasmic reticulum,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009535,chloroplast thylakoid membrane,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005886,plasma membrane,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005634,nucleus,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0009860,pollen tube growth,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0007623,circadian rhythm,P
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0005739,mitochondrion,C
Locus_15526_Transcript_1_Length_858_genewise_newlength_749__CDS__108__602,glutathione peroxidase 8,GO:0055114,oxidation-reduction process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0044446,intracellular organelle part,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0006406,mRNA export from nucleus,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0010015,root morphogenesis,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0016570,histone modification,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0007010,cytoskeleton organization,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0022891,substrate-specific transmembrane transporter activity,F
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0009908,flower development,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0006796,phosphate-containing compound metabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005829,cytosol,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0060918,auxin transport,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0006096,glycolysis,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0009651,response to salt stress,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0042742,defense response to bacterium,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0009416,response to light stimulus,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0051171,regulation of nitrogen compound metabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0010498,proteasomal protein catabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0044281,small molecule metabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005886,plasma membrane,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0080090,regulation of primary metabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0031323,regulation of cellular metabolic process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0006606,protein import into nucleus,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0018193,peptidyl-amino acid modification,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005515,protein binding,F
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0003676,nucleic acid binding,F
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005773,vacuole,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0016887,ATPase activity,F
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0048522,positive regulation of cellular process,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0046686,response to cadmium ion,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0004402,histone acetyltransferase activity,F
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0006094,gluconeogenesis,P
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005634,nucleus,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0009507,chloroplast,C
Locus_4167_Transcript_2_Length_2331_genewise_newlength_2331__CDS__8__2101,glutathione s-conjugate transporting atpase,GO:0005524,ATP binding,F
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0009941,chloroplast envelope,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0048046,apoplast,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0045174,glutathione dehydrogenase (ascorbate) activity,F
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0016034,maleylacetoacetate isomerase activity,F
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005773,vacuole,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0009407,toxin catabolic process,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:1902000,homogentisate catabolic process,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0009753,response to jasmonic acid stimulus,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0009610,response to symbiotic fungus,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005777,peroxisome,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005829,cytosol,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0010043,response to zinc ion,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0009570,chloroplast stroma,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0010583,response to cyclopentenone,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0043295,glutathione binding,F
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0010193,response to ozone,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005886,plasma membrane,C
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0010731,protein glutathionylation,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005507,copper ion binding,F
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0010027,thylakoid membrane organization,P
Locus_14295_Transcript_2_Length_1262_genewise_newlength_1167__CDS__175__966,glutathione s-transferase zeta-class 1,GO:0005739,mitochondrion,C
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0005777,peroxisome,C
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0010035,response to inorganic substance,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0003858,3-hydroxybutyrate dehydrogenase activity,F
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,F
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0009407,toxin catabolic process,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0005507,copper ion binding,F
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0019344,cysteine biosynthetic process,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0009570,chloroplast stroma,C
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:1901700,response to oxygen-containing compound,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0031967,organelle envelope,C
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0005829,cytosol,C
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0006749,glutathione metabolic process,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0006979,response to oxidative stress,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0010212,response to ionizing radiation,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0000706,meiotic DNA double-strand break processing,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0007276,gamete generation,P
Locus_6608_Transcript_6_Length_2170_genewise_newlength_1919__CDS__154__1629,glutathione-disulfide reductase,GO:0044429,mitochondrial part,C
